id,artworks,cover,created_at,external_games,first_release_date,game_modes,genres,name,platforms,player_perspectives,release_dates,screenshots,similar_games,slug,summary,tags,updated_at,url,websites,checksum,language_supports,game_type,age_ratings,involved_companies,keywords,themes,version_parent,version_title,parent_game,alternative_names,game_engines,storyline,videos,game_localizations,collections,hypes,multiplayer_modes,status,game_status,bundles,franchises,rating,rating_count,total_rating,total_rating_count,dlcs
240765,[103432],290956.0,1678088738,"[2681508, 2681126]",1694736000,[1],"[8, 32]",Grey Area,[6],,[543149],"[1009271, 1009282, 1009277, 1009279, 1009280, 1009274]","[26226, 28070, 29032, 18182, 55042, 111253, 77529, 55190, 24426, 56033]",grey-area,"A tough platformer following an 8-year-old diving over, under, and around the terrifying creatures living in a strange, mysterious world that's so much bigger than her: the ""world between all worlds"".","[1, 268435464, 268435488, 536870984, 536871038, 536871200, 536871874, 536872225, 536872609, 536872692, 536873338, 536873789, 536873926, 536875047, 536894373, 536895436, 536896743]",1760792132,https://www.igdb.com/games/grey-area,[535820],fbd89748-90f7-4adb-2544-baac777ec6ac,"[644749, 644750]",0,,,"[72, 126, 288, 962, 1313, 1697, 1780, 2426, 2877, 3014, 4135, 24524, 25831]",[1],,,,,,,[103211],,,,,,,,,,,,,
265519,[117208],330040.0,1694066496,"[2740545, 2740116]",1694736000,[1],"[31, 32]",Charles Haunted Mansion,[6],[3],[513107],"[1138528, 1138529, 1138530, 1138531, 1138532, 1138533]","[111130, 55282, 26658, 120201, 13189, 27266, 25646, 25222, 87514, 109339]",charles-haunted-mansion,"Charles Haunted Mansion is a 2D Top-Down Survival Horror game based on the story of a mansion, haunted by the vengeful spirit of a woman who was murdered inside the mansion decades ago.","[19, 21, 268435487, 268435488]",1760008757,https://www.igdb.com/games/charles-haunted-mansion,"[580049, 580050, 580556]",b12f473a-4508-c8dd-c992-27656128bf35,"[792681, 792682]",0,,,,"[19, 21]",,,,,,,[97503],,,,,,,,,,,,,
212959,[83479],259681.0,1660007580,"[2529591, 2529478]",1694736000,[1],"[31, 32]",Pep-Pel,"[3, 6, 14]",,"[693849, 693850, 693851]","[853860, 853863, 853865, 853867, 853868, 853869, 853872, 853875, 853881]","[111130, 96217, 113895, 106987, 28309, 25646, 87622, 80916, 68271, 30245]",pep-pel,"Run through each level as Pep-Pel! a goofy red goblin thing. In this beautifully hand drawn game. play through tons of fast-paced and difficult levels, each with there own challenge to master!","[1, 268435487, 268435488]",1760795327,https://www.igdb.com/games/pep-pel,"[303104, 500188]",8fae51aa-36aa-489b-530e-71d8ef6a86e7,"[567969, 732369, 732371, 732373, 732363, 732364, 732365, 732366, 732367, 732368, 732370, 732372, 732374, 732375, 732376]",0,,,,[1],,,,,,,,,,,,,,,,,,,,
266303,,331544.0,1694492196,[2741682],1694736000,"[1, 2, 3]",[13],X-Plane 12: Aerosoft - Airport Menorca,"[3, 6, 14]",,"[516395, 516396, 516397]","[1142981, 1142982, 1142983, 1142984, 1142960, 1142961, 1142962, 1142963, 1142964, 1142965, 1142971, 1142972, 1142979, 1142980, 1142966, 1142967, 1142968, 1142969, 1142970, 1142973, 1142974, 1142975, 1142976, 1142977, 1142978]","[101573, 105264, 115738, 17613, 112754, 87485, 100794, 36346, 65827, 76340]",x-plane-12-aerosoft-airport-menorca,The popular holiday island Menorca is now also available for X-Plane. The current aerial images come in a resolution of 50cm/pixel down to 25cm/pixel in the airport area.,[268435469],1725460198,https://www.igdb.com/games/x-plane-12-aerosoft-airport-menorca,"[581475, 581476, 669437]",9f3bc72c-9f18-4fa0-1aab-5a47e1853665,"[796315, 796316, 796317, 796318, 796319, 796320, 796321, 796322, 796323, 796324, 796325]",13,,[231370],,,,,215544.0,,,,,,,,,,,,,,,,,
256034,[118184],330803.0,1688982999,"[2718972, 2742932, 2743572, 2742891, 2742909, 2743593, 2743553]",1694736000,[1],"[12, 31]",Lies of P: Deluxe Edition,"[6, 48, 49, 167, 169]",[2],"[516656, 516659, 516658, 517030, 517031, 516657, 516650]","[1147408, 1147409, 1147410, 1147411, 1147412, 1147413, 1147414, 1147415, 1147416]","[81249, 103303, 19164, 111130, 102584, 96217, 26574, 18225, 106987, 28309]",lies-of-p-deluxe-edition,"Lies of P is an action role-playing game set in a dark, Belle Époque-inspired city overrun by deadly puppets. Players control Pinocchio, reimagined as a mechanical warrior, navigating a decaying world while making choices that affect the unfolding narrative. The game features challenging melee combat, weapon customization, and a mechanical arm with various abilities.

The Deluxe Edition includes:
• The base game;
• The Great Venigni’s Signature Coat;
• The Great Venigni’s Glasses;
• Mask worn by those preparing for the festival.","[1, 19, 38, 268435468, 268435487, 536872609, 536888238]",1759446475,https://www.igdb.com/games/lies-of-p-deluxe-edition,"[793778, 793779, 793780]",74bf3339-39a4-4915-823a-ab8f7bb5add8,"[800934, 800935, 800936, 800937, 800938, 800939, 800940, 800941, 800942, 800943, 800944, 800945, 800946, 800947, 800948, 800949, 800950, 800951, 800953, 800954, 800955, 800956, 800957, 800958, 800952]",0,"[153102, 153104, 153105, 153106, 153107, 153108, 153103]","[321193, 321194]","[1697, 17326]","[1, 19, 38]",148241.0,Deluxe Edition,,,,,,"[30023, 30064]",,,,,,,,,,,,
102806,[90274],125802.0,1527534941,"[1864745, 1918051, 2615350]",1694736000,"[1, 2, 3]","[5, 13, 32]",Dead Matter,"[3, 6, 14]","[1, 2]",[728911],"[212969, 212970, 212968, 212973, 212971, 212972, 212974, 212975, 212976, 212977, 212978, 212979, 1383147, 1383146]","[17379, 44076, 19561, 26574, 5574, 37419, 9243, 24765, 102584, 10776]",dead-matter,"A rogue-lite that aims to quench the community’s thirst for a title that properly balances survival mechanics with fulfilling gameplay.

Dead Matter is a true sandbox survival horror. Players will fight to survive in a zombie-packed, post-apocalyptic world that fosters whichever play-style fits you best. Settle down and defend your home from outside threats with an expansive crafting and barricading system, cultivate and live off the land, or branch out, explore, and scavenge whatever vehicles, weapons, and food you may find in a zombie-plagued Alberta – alone, or with your friends.","[1, 19, 21, 33, 38, 268435461, 268435469, 268435488, 536870917, 536870976, 536870981, 536870984, 536871094, 536871422, 536871900, 536872015, 536872421, 536873049, 536873084, 536873304, 536873337, 536873401, 536873405, 536877227, 536887995, 536888107, 536888204]",1756993384,https://www.igdb.com/games/dead-matter,"[79719, 79718, 79717, 79720, 79715, 79716, 320437, 392394]",d940ca55-88ee-5d5d-9772-623037c7f13c,"[131822, 131823]",0,,[65154],"[5, 64, 69, 72, 182, 510, 988, 1103, 1509, 2137, 2172, 2392, 2425, 2489, 2493, 6315, 17083, 17195, 17292]","[1, 19, 21, 33, 38]",,,,,[439],,"[20200, 20199, 20201]",,,4.0,"[8744, 8746, 8745]",4.0,4.0,,,,,,,
239920,[103083],429046.0,1677502289,"[2679352, 2679390, 2948982]",1694736000,"[2, 3, 6]","[5, 15, 31]",Blood Strike,"[34, 6, 39]",[1],"[589894, 592991, 592992, 589895, 589897, 589898]","[1317389, 1317390, 1317391, 1317392]","[95340, 106805, 105269, 55038, 19164, 25311, 27092, 35994, 107318, 103301]",blood-strike--2,"Charge into fast paced combat in modes such as Battle Royale, Squad Fight or Hot Zone alone or with friends. Blood Strike offers a wide range of playable Strikers, each with a unique active and passive ability letting you deploy drones, shield walls and everything in between. Customize your weapons to your liking and get ready to prove that you have what it takes to come out on top!","[1, 268435461, 268435471, 268435487, 536908748]",1758678210,https://www.igdb.com/games/blood-strike--2,"[634551, 534329, 634550, 634548, 634547, 632442, 632443, 634549, 676760]",1fb13395-a9b3-b96f-6276-88607a041ff1,"[1094137, 1094139, 1094140, 1094141, 1094138, 1094142, 1094143, 1094145, 1094144, 1094146, 1094147, 984067, 984068, 984069, 984070, 993398, 993399, 993400, 993392, 993395, 993397, 993401]",0,,[267027],[37836],[1],,,,"[143419, 163818, 163819, 169598]",,,[113923],,,2.0,[27966],,,,,92.72385723231059,23.0,92.72385723231059,23.0,
258338,[112725],426851.0,1690361743,"[2726304, 2724479]",1694736000,"[2, 3]","[13, 31, 32]",Webventure,[6],,[682611],"[1097853, 1097854, 1097855, 1097856, 1097857]","[111130, 25311, 35994, 29348, 87975, 96217, 106987, 37419, 28309, 113895]",webventure,"You and your friend will have work together to overcome challenges using your webs and creativity, helping each other and unraveling the mysteries of the forest.","[1, 268435469, 268435487, 268435488]",1759739967,https://www.igdb.com/games/webventure,"[834276, 568089]",e63154f7-5d33-fcd7-7a2a-8383f38afd20,"[735271, 735272, 735273, 735274, 735275, 735276, 735277, 735278, 735279, 735280, 735281, 735282, 735283, 735284, 735285, 735286, 735287, 735288, 735289, 735290, 735291]",0,,,,[1],,,,,,,,,,,,,,,,,,,,
265840,[117425],337649.0,1694159678,"[2740835, 2741126]",1694736000,[1],"[13, 14, 33]",League of Champions Soccer 2024,"[48, 130]",,"[518724, 532398]","[1140282, 1140284, 1140286, 1140289, 1140291, 1140292]","[27378, 116353, 115869, 114432, 112846, 87053, 116667, 112078, 118871, 15851]",league-of-champions-soccer-2024,Live the new Champions European League Soccer Competition like real players do. Choose your team and play the matches of the real draw until the final.,"[268435469, 268435470, 268435489]",1758420927,https://www.igdb.com/games/league-of-champions-soccer-2024,[775814],d340574f-afb2-05de-57c9-aba6ebe6a559,[794391],0,"[153980, 152089]",,,,,,,,,,,,,,,,,,,,,,,
295704,[134401],,1712274856,,1694736000,,,For a Vast Future: Colour Palette 3,[130],,[580997],,,for-a-vast-future-colour-palette-3,,,1747165356,https://www.igdb.com/games/for-a-vast-future-colour-palette-3,[764138],1100053a-d0f3-14c0-e6db-0f3058b5b6a0,,13,[172055],,,,,,144170.0,,,,,,,,,,,,,,,,,
