id,company,developer,game,porting,publisher,supporting
329323,65331,True,353806,False,True,False
329710,65366,False,353937,False,True,False
329711,65367,True,353937,False,False,False
333147,66006,True,357715,False,True,False
330413,65444,True,354853,False,True,False
330420,31491,True,354860,False,True,False
333458,66088,True,358392,False,True,False
331800,65693,True,356710,False,True,False
330470,62680,True,354880,False,False,False
330471,27828,False,354880,False,True,False
335194,66378,True,359976,False,True,False
333483,64191,True,346188,False,True,False
330909,64162,True,355328,False,False,False
330915,65533,True,355406,False,True,False
330967,20213,True,355569,False,True,False
333791,30689,True,346610,False,True,False
333573,57256,False,346637,False,True,False
333572,66126,True,346637,False,True,False
333245,66029,True,358227,False,True,False
333248,66032,True,358230,False,True,False
334671,66303,True,352878,False,True,False
331672,24546,True,356569,False,False,False
331671,65660,False,356569,False,True,False
328296,65193,True,352428,False,True,False
336034,66559,True,360432,False,True,False
346129,68932,True,347561,False,True,False
341420,67892,True,345061,False,True,False
331812,65699,True,356708,False,True,False
338889,51808,True,347461,False,True,False
331843,65706,True,356075,False,True,False
334088,66218,True,358468,False,True,False
335635,15384,True,346719,False,False,False
335636,9005,False,346719,False,True,True
344723,68689,True,353394,False,True,False
315490,40291,True,339978,False,True,False
336410,57863,True,343055,False,True,False
348848,69309,True,345444,False,True,False
315720,62651,False,340283,False,True,False
315716,62651,True,340281,False,True,False
316317,62651,True,340279,False,True,False
332040,65759,True,356203,False,True,False
317058,63250,False,341302,False,True,False
317059,63251,True,341302,False,False,False
317699,54891,False,340143,False,True,False
317579,63286,True,341535,False,True,False
317957,63350,True,341855,False,True,False
317956,63349,True,341855,False,False,False
318141,63391,True,341947,False,False,False
332897,65523,True,357446,False,True,False
318771,63503,True,342286,False,True,False
319301,63611,False,342758,False,True,True
319300,54336,True,342758,False,True,False
319370,56306,True,342827,False,True,False
341656,38941,True,341266,False,False,False
341655,63095,False,341266,False,True,False
340174,67547,False,345662,False,True,False
318214,6075,True,342002,False,True,False
319954,54738,True,343199,False,True,False
346335,13999,True,346940,False,False,False
346336,54891,False,346940,False,True,False
320160,63782,True,343148,False,False,False
330839,61538,True,355170,False,True,False
318480,31920,True,342128,False,True,False
319792,22984,True,340029,False,False,False
333560,66117,False,357152,False,True,False
333561,66118,True,357152,False,False,False
332205,65803,True,356048,False,True,False
330522,63598,True,354925,False,True,False
320992,63869,True,344070,False,False,False
320158,63780,True,343100,False,False,False
321277,63900,True,344294,False,False,False
340021,67485,True,347384,False,True,False
321650,63950,True,344586,False,True,False
332994,65977,True,345093,False,False,False
332995,23086,False,345093,False,True,False
321897,2489,True,344806,False,True,False
322583,64094,True,345456,False,True,False
